"","projects_uID","name_agency","project_title","donors","project_status","ongoing_ability","new_project_funding","funding_amount","pillars","projects_activities","other_activities","implimenting_partner","regions","districts"
"1","ID-1","Catholic Relief Services","COVID-19 activities only","Latter Day Saints Charities, NA","ongoing_project","yes",NA,75796,"Coordination,Infection prevention,Surveillance,Case management,WASH,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization other, other, none,  Logistics, Human resource","Faecal Sludge Management: desludging 52 institutional and 600 PSN households latrines. Household latrines desludging through Community-based sanitation entrepreneurs. PSN households will received cash support through evoucher to cover desludging costs to the sanitation entrepreneurs.","None, None","westnile","yumbe"
"2","ID-2","AVSI FOUNDATION","District Health System Strengthening on RMNCAH, HIV, and Nutrition Westnile, Lamwo and Kiryandongo districts","unicef, NA","ongoing_project","yes",NA,230000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure support_community_engagement_meetings support_operationalization_of_wash_committees, other, none, cash supplies, Logistics, Human resource","Targeted rehabilitation of 17 Delivery Wards in HCIII and IV in West Nile including WASH and Lighting","","acholi bunyoro westnile","lamwo, kiryandongo, maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi"
"3","ID-3","Hope for Children","COVID-19 Activities","This particular donor wants to remain anonymous, NA","ongoing_project","yes",NA,50000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, hygiene_promotion_sensitization support_community_engagement_meetings, other, mhpss_counsellors, personnel, Logistics, Human resource","Dry foods distribution","","kampala","kampala"
"4","ID-4","Self Help Africa","Sustainable Livelihoods (SUSTAIN)","ireland, NA","ongoing_project","yes",NA,50000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, none, supplies personnel, Logistics, Human resource","Provision of agricultural inputs for 1000 households","Implemeted directly in partnership with District Local Government, Directly, Direct Implementation, Direct implementation","westnile","adjumani"
"5","ID-5","Self Help Africa","Increasing Household Income and Livelihoods for Women and Youth in Teso, North-east Uganda","uk, NA","ongoing_project","yes",NA,50000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, none, supplies personnel, Logistics, Human resource","Distribution of assorted seeds and inputs for 1000 households","Volutary Action for Development (VAD) and Kapelebyong District Local Government (DLG), VAD and Kapelebyong DLG, VAD and Kapelebyong DLG, VAD and Kapelebyong DLG","teso","kapelebyong"
"6","ID-6","CARE International ","Women Adolescent and Youth Rights and Empowerment Project (WAY)","unfpa, NA","ongoing_project","yes",NA,14595,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, supplies, Logistics, Human resource",NA,"","acholi westnile","lamwo amuru kitgum agago, yumbe adjumani arua moyo madiokollo obongi"
"7","ID-7","International Justice Mission","COVID-19 activities only","germany, NA","new_project",NA,"no",10000,"Coordination,Infection prevention,Surveillance,Case management,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, mhpss_counsellors, cash personnel, Logistics, Human resource","However, IJM is waiting to hear back about a proposal we submitted to the German government (via BMZ) for funding to put towards combatting GBV during the COVID crisis. Regardless of whether we are successful in our proposal, IJM will be  putting funds towards supporting the Uganda Child Helpline, the MGLSD (PSWOs) and Uganda Police (CID) to help them combat GBV. We are hoping to purchase motorbikes and support shelters serving vulnerable women and children.","Private counselors","kampala","kampala"
"8","ID-16","Engineering Ministries International","COVID-19 activities only","internal_funding","new_project",NA,"yes",5000,"Coordination,Infection prevention,Surveillance,Case management,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none,  Logistics, Human resource",NA,"","kampala, kampala","kampala, kampala"
"9","ID-17","CARE International","COVID-19 Response","internal_funding","new_project",NA,"yes",60000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure, other, mhpss_counsellors, supplies personnel, Logistics, Human resource","Conducting a Rapid Gender Analysis in Gulu, Omugo, and Kyangwali","n/a, n/a, n/a","bunyoro westnile, bunyoro westnile","kikuube, arua, kikuube, arua madiokollo"
"10","ID-18","CARE International","Enhanced Emergency Preparedness in Kikuube District","eu, NA","ongoing_project","yes",NA,62975,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, supplies personnel, Logistics, Human resource","Training of Kikuube district COVID-19 taskforce,  and Sub County and Refugee Settlement leadership on COVID 19 impact on Gender & Protection","n/a, n/a, n/a","bunyoro","kikuube"
